Name,Wings,Engine,Brakes,Gear,Suspension,WS
A1-Ring,249.22,714.42,676.29,789.10,511.89,141.46
Adelaide,631.90,496.90,358.33,549.99,652.05,79.46
Ahvenisto,993.04,466.54,699.74,766.10,240.15,228.29
Anderstorp,250.72,699.88,769.29,611.18,107.05,75.32
Austin,521.56,605.59,608.90,640.62,786.90,173.60
Avus,302.56,636.26,412.40,387.41,821.34,103.25
Baku City,362.08,615.56,611.02,706.00,716.97,96.71
Barcelona,457.87,673.95,503.46,676.11,315.93,140.56
Brands Hatch,475.32,647.54,386.69,709.40,641.47,121.10
Brasilia,577.88,409.23,697.76,849.61,784.06,46.69
Bremgarten,713.70,594.03,589.41,697.91,539.29,138.55
Brno,489.73,515.49,378.53,555.53,490.25,73.58
Bucharest Ring,269.73,654.11,711.39,593.83,744.57,77.48
Buenos Aires,901.29,516.57,272.05,654.41,706.34,190.08
Estoril,438.52,652.28,302.24,705.00,575.42,79.46
Fiorano,449.29,619.66,301.15,374.52,895.10,99.31
Fuji,271.38,590.54,633.87,689.16,500.84,117.72
Grobnik,646.19,384.37,524.55,768.66,500.29,128.82
Hockenheim,444.92,647.63,329.61,789.21,291.96,-98.20
Hungaroring,853.49,439.10,571.56,434.45,416.73,62.53
Imola,459.77,599.72,672.31,615.44,455.84,19.18
Indianapolis,207.55,706.52,465.52,648.50,518.59,-35.00
Indianapolis Oval,-58.62,730.49,21.69,901.36,304.75,67.60
Interlagos,460.91,578.03,555.34,568.26,318.88,-26.27
Irungattukottai,680.12,470.29,626.79,620.22,536.55,13.95
Istanbul,387.85,544.46,700.97,543.97,636.53,118.92
Jerez,717.60,608.07,626.86,701.30,321.26,143.33
Jyllands-Ringen,769.66,414.13,556.76,743.56,524.72,106.93
Kaunas,387.37,635.17,515.42,685.00,362.96,91.10
Kyalami,777.15,534.30,557.47,528.95,749.84,206.85
Laguna Seca,481.06,401.03,585.51,619.45,50.81,54.38
Magny Cours,453.62,564.81,294.88,588.24,560.43,147.77
Melbourne,403.36,619.00,614.44,757.14,294.52,8.04
Mexico City,632.08,700.96,470.54,671.13,323.13,48.62
Monte Carlo,1024.73,373.43,471.04,374.23,494.38,100.89
Montreal,335.19,677.82,566.84,718.10,237.85,-98.13
Monza,124.19,735.83,496.00,868.17,610.97,24.64
Mugello,517.88,805.54,879.84,901.34,590.54,-69.40
New Delhi,649.99,556.92,556.38,720.30,150.90,-97.64
Nurburgring,650.81,451.94,626.71,598.00,149.86,244.17
Oesterreichring,442.09,675.58,496.59,729.98,508.34,85.42
Paul Ricard,362.79,732.67,301.68,784.37,575.27,182.33
Portimao,784.36,392.27,486.50,490.00,295.42,180.52
Poznan,742.00,546.02,379.02,718.46,529.96,182.04
Rafaela Oval,86.60,645.37,144.79,781.23,354.81,67.60
Sakhir,126.91,406.55,716.34,609.56,240.96,-21.44
Sepang,554.00,590.12,653.69,746.34,466.41,24.60
Serres,927.25,414.83,503.01,477.94,522.69,177.00
Shanghai,416.43,529.77,641.35,354.61,114.21,114.90
Silverstone,283.41,699.48,590.85,823.25,415.10,18.87
Singapore,865.61,438.19,578.15,598.96,801.20,202.04
Slovakiaring,735.82,439.66,609.73,491.45,431.92,184.08
Sochi,675.39,588.26,587.66,696.24,456.11,137.97
Spa,585.64,716.49,446.82,609.47,372.54,50.40
Suzuka,413.56,639.98,515.88,550.25,531.13,47.12
Valencia,837.83,445.95,657.26,652.58,335.82,209.76
Yas Marina,730.05,459.70,557.69,476.10,419.98,175.25
Yeongam,781.67,480.86,719.53,689.50,420.63,207.41
Zandvoort,551.15,653.24,415.91,779.13,709.95,5.57
Zolder,669.24,616.83,466.06,628.62,539.48,193.30
