Name,Wings,Engine,Brakes,Gear,Suspension,WS,FuelDry,FuelWet,Distance,Tyre,Pit I/O,Corners (15)
A1-Ring,249.22,714.42,676.29,789.1,511.89,141.46,0.875,0.7829,307.1,0.89211,21.00,9.00
Adelaide,631.9,496.9,358.33,549.99,652.05,79.46,0.807,0.6774,298.6,0.94557,19.50,12.00
Ahvenisto,993.04,466.54,699.74,766.1,240.15,228.29,0.8455,0.796,243.2,0.9336,11.50,10.00
Anderstorp,250.72,699.88,769.29,611.18,107.05,75.32,0.9042,0.785,281.8,0.971,13.50,10.00
Austin,521.56,605.59,608.9,640.62,786.9,173.6,0.8617,0.752,308.9,1.00374,17.50,20.00
Avus,302.56,636.26,412.4,387.41,821.34,103.25,0.90563,0,312.3,1.18641,13.00,4.00
Baku City,362.08,615.56,611.02,706,716.97,96.71,0.89345,0,306.3,1.00055,17.00,20.00
Barcelona,457.87,673.95,503.46,676.11,315.93,140.56,0.874,0,307.3,1.0933,21.00,16.00
Brands Hatch,475.32,647.54,386.69,709.4,641.47,121.1,0.8305,0.6357,315.5,1.04047,25.50,12.00
Brasilia,577.88,409.23,697.76,849.61,784.06,46.69,0.8911,0.6221,301.1,1.04035,13.50,12.00
Bremgarten,713.7,594.03,589.41,697.91,539.29,138.55,0.858,0,305.8,1.0813,17.00,16.00
Brno,489.73,515.49,378.53,555.53,490.25,73.58,0.8324,0.7015,308,0.98793,14.00,15.00
Bucharest Ring,269.73,654.11,711.39,593.83,744.57,77.48,0.9118,0.7706,245.7,0.9947,24.00,14.00
Buenos Aires,901.29,516.57,272.05,654.41,706.34,190.08,0.7853,0.572,306.6,0.9795,19.50,16.00
Estoril,438.52,652.28,302.24,705,575.42,79.46,0.8379,0.7148,305.2,1.05901,22.50,13.00
Fiorano,449.29,619.66,301.15,374.52,895.1,99.31,0.9327,0.872,238.6,0.95633,16.50,14.00
Fuji,271.38,590.54,633.87,689.16,500.84,117.72,0.8491,0.6228,305.4,0.976,18.50,16.00
Grobnik,646.19,384.37,524.55,768.66,500.29,128.82,0.8224,0,308.4,1.03798,13.00,15.00
Hockenheim,444.92,647.63,329.61,789.21,291.96,-98.2,0.8693,0.899,306.4,0.96074,16.50,12.00
Hungaroring,853.49,439.1,571.56,434.45,416.73,62.53,0.7657,0.649,305.5,1.06388,16.50,14.00
Imola,459.77,599.72,672.31,615.44,455.84,19.18,0.8557,0.6079,305.6,1.0555,12.00,16.00
Indianapolis,207.55,706.52,465.52,648.5,518.59,-35,0.893,0,306.6,1.01319,25.50,13.00
Indianapolis Oval,-58.62,730.49,21.69,901.36,304.75,67.6,0.9042,0.749,321.8,0.9953,45.00,4.00
Interlagos,460.91,578.03,555.34,568.26,318.88,-26.27,0.8492,0.6853,305.9,1.04207,18.00,14.00
